title,stars_rating,run_time,release_date,mpaa_rating,genre,director,cast
2 Fast 2 Furious,0.5,103.0,2003,"Violence, Profanity, Sexual Situations",ACTION,John Singleton,"Paul Walker, Tyrese, Eva Mendes, Cole Hauser, Chris 'Ludacris' Bridges, Thom Barry, James Remar, Devon Aoki"
Any Given Sunday,2.0,165.0,1999,"Profanity, Nudity, Sexual Situations",DRAMA,Oliver Stone,"Al Pacino, Lela Rochon, Lawrence Taylor, Matthew Modine, John C. McGinley, Charlton Heston, Lauren Holly, LL Cool J, Aaron Eckhart, James Woods, Jamie Foxx, Dennis Quaid, Cameron Diaz, Ann-Margret"
Kika,2.5,116.0,,"Sexual Situations, Nudity, Profanity, Violence",DRAMA/COMEDY,Pedro Almodovar,"Veronica Forque, Peter Coyote, Alex Casanovas, Victoria Abril, Rossy De Palma"
"Dinner Game, The",2.5,80.0,1999,Profanity,COMEDY,Francis Veber,"Jacques Villeret, Thierry Lhermitte, Francis Huster, Alexandra Vandernoot, Daniel Prévost, Catherine Frot"
Doctor Strange in the Multiverse of Madness,2.0,126.0,2022,"Violence, Disturbing Images",Action/Horror,Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong, Xochitl Gomez, Rachel McAdams"
Memory,3.0,114.0,2022,"Violence, Profanity",Thriller,Martin Campbell,"Liam Neeson, Guy Pearce, Harold Torres, Monica Bellucci, Ray Stevenson, Taj Atwal, Antonio Jaramillo, Lee Boardman"
"Unbearable Weight of Massive Talent, The",2.5,108.0,2022,"Profanity, Violence",Action/Comedy,Tom Gormican,"Nicolas Cage, Pedro Pascal, Tiffany Haddish, Sharon Horgan, Paco Leon, Neil Patrick Harris, Lily Sheen, Alessandra Mastronardi"
Somewhere in Time,2.0,103.0,1980,,Fantasy/Romance,Jeannot Szwarc,"Christopher Reeve, Jane Seymour, Christopher Plummer, Bill Erwin, George Voskovec"
"Northman, The",3.5,136.0,2022,"Violence, Gore, Sexual Content, Nudity",Fantasy/Adventure,Robert Eggers,"Alexander Skarsgård, Nicole Kidman, Claes Bang, Ethan Hawke, Anya Taylor-Joy, Gustav Lindh, Elliott Rose, Willem Dafoe, Bjork"
"Bad Guys, The",2.5,100.0,2022,,Animated,Pierre Perifel,"Sam Rockwell, Marc Maron, Anthony Ramos, Craig Robinson, Awkwafina, Zazie Beetz, Richard Ayoade"
Fantastic Beasts: The Secrets of Dumbledore,2.0,142.0,2022,Violence,Fantasy,David Yates,"Eddie Redmayne, Jude Law, Madds Mikkelsen, Dan Fogler, Ezra Miller, Alison Sudol, Callum Turner, Jessica Williams, William Nadylam, Victoria Yeates, Richard Coyle, Katherine Waterston"
Ambulance,2.5,136.0,2022,"Violence, Profanity",Action/Thriller,Michael Bay,"Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza Gonzalez, Garret Dillahunt, Keir O’Donnell, Jackson White"
Everything Everywhere All at Once,3.0,139.0,2022,"Profanity, Violence",Fantasy/Action,Daniels,"Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, James Hong, Jamie Lee Curtis, Tallie Medel, Jenny Slate, Harry Shum Jr."
All the Old Knives,3.0,101.0,2022,"Sexual Content, Nudity, Profanity, Disturbing Images",Thriller,Janus Metz,"Chris Pine, Thandiwe Newton, Laurence Fishburne, Jonathan Pryce, Corey Johnson"
Seeking a Friend for the End of the World,3.0,102.0,2012,"Profanity, Sexual Content",DRAMA/COMEDY,Lorene Scafaria,"Steve Carell, Keira Knightley, Martin Sheen, William Petersen, Derek Luke"
Rock of Ages,3.0,124.0,2012,"Sexual Content, Profanity, Drugs",MUSICAL,Adam Shankman,"Tom Cruise, Malin Akerman, Bryan Cranston, Catherine Zeta-Jones, Russell Brand, Paul Giamatti, Alec Baldwin, Diego Boneta, Julianne Hough, Mary J. Blige"
Safety Not Guaranteed,3.0,94.0,2012,"Profanity, Sexual Content",COMEDY/DRAMA,Colin Trevorrow,"Aubrey Plaza, Mark Duplass, Jake M. Johnson, Karan Soni, Mary Lynn Rajskub, Kristen Bell"
Prometheus,3.0,124.0,2012,"Profanity, Violence, Sexual Content",SCIENCE FICTION,Ridley Scott,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba, Guy Pearce, Logan Marshall-Green"
Lola Versus,3.0,87.0,2012,"Sexual Content, Profanity, Nudity",DRAMA/COMEDY,Daryl Wein,"Greta Gerwig, Hamish Linklater, Joel Kinnaman, Zoe Lister Jones, Debra Winger, Bill Pullman, Ebon Moss-Bachrach"
Madagascar 3,2.0,95.0,2012,,ANIMATED,"Eric Darnell, Tom McGrath, Conrad Vernon","(voices) Ben Stiller, Martin Short, Jessica Chastain, Frances McDormand, Cedric the Entertainer, Sacha Baron Cohen, Jada Pinkett Smith, David Schwimmer, Chris Rock, Bryan Cranston"
Moonrise Kingdom,3.5,94.0,2012,"Sexual Content, Profanity",COMEDY,Wes Anderson,"Jared Gilman, Harvey Keitel, Jason Schwartzman, Tilda Swinton, Frances McDormand, Bill Murray, Bruce Willis, Edward Norton, Kara Hayward, Bob Balaban"
Snow White and the Huntsman,3.0,127.0,2012,"Violence, Profanity",FANTASY/ADVENTURE,Rupert Sanders,"Kristen Stewart, Johnny Harris, Toby Jones, Eddie Marsan, Nick Frost, Ray Winstone, Bob Hoskins, Ian McShane, Sam Spruell, Sam Claflin, Charlize Theron, Chris Hemsworth, Brian Gleeson"
Bel Ami,2.0,102.0,2012,"Sexual Content, Nudity",DRAMA,"Declan Donnellan, Nick Ormerod","Robert Pattinson, Uma Thurman, Christina Ricci, Kristin Scott Thomas, Colm Meaney, Holly Grainger, Philip Glenister"
Chernobyl Diaries,2.0,85.0,2012,"Violence, Profanity",HORROR,Bradley Parker,"Jonthan Sadowski, Nathan Phillips, Jesse McCartney, Devin Kelley, Olivia Taylor Dudley, Ingrid Bolso Berdal, Dimitri Diatchenko"
Ready to Wear,2.5,132.0,1994,"Profanity, Sexual Content, Nudity",COMEDY,Robert Altman,"Marcello Mastroianni, Sophia Loren, Kim Basinger, Danny Aiello, Anouk Aimee, Lauren Bacall"
Maborosi,3.5,110.0,,"Mature Themes, Brief Nudity",DRAMA,Hirokazu Kore-eda,"Makiko Esumi, Takashi Naitoh, Tadanobu Asano"
Crash,3.0,100.0,2005,"Profanity, Violence, Sexual Situations, Nudity",DRAMA,Paul Haggis,"Matt Dillon, Terrence Dashon Howard, William Fichtner, Jennifer Esposito, Larenz Tate, Ryan Phillippe, Thandie Newton, Brendan Fraser, Sandra Bullock, Don Cheadle, Ludacris"
Deep Water,3.5,93.0,2007,Nothing Objectionable,DOCUMENTARY,"Louise Osmond, Jerry Rothwell",Tilda Swinton (narrator)
Halloween II,2.0,92.0,1981,"Violence, Sexual Situations, Nudity, Profanity",HORROR,Rick Rosenthal,"Donald Pleasence, Ford Rainey, Ana Alicia, Tawny Moyer, Leo Rossi, Dick Warlock, Hunter von Leer, Pamela Susan Shoop, Lance Guest, Jeffrey Kramer, Charles Cyphers, Jamie Lee Curtis, Nancy Stephens"
Bad Santa,3.0,90.0,2003,"Profanity, Violence, Sexual Situations",COMEDY,Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter, Tony Cox, Brett Kelly"
Constantine,2.5,117.0,2005,"Violence, Profanity",THRILLER,Francis Lawrence,"Keanu Reeves, Rachel Weisz, Shia LeBeouf, Djimon Hounsou, Max Baker, Pruitt Taylor Vince, Gavin Rossdale, Tilda Swinton, Peter Stormare"
Bedtime Stories,2.0,95.0,2008,,COMEDY/ADVENTURE,Adam Shankman,"Adam Sandler, Jonathan Morgan Heit, Jonathan Pryce, Courteney Cox, Lucy Lawless, Teresa Palmer, Richard Griffiths, Russell Brand, Guy Pearce, Keri Russell, Laura Ann Kessling"
Manhattan Murder Mystery,3.5,108.0,1993,,COMEDY,Woody Allen,"Woody Allen, Diane Keaton, Alan Alda, Anjelica Houston, Jerry Adler"
Stealing Beauty,2.5,118.0,1996,"Sexual Content, Nudity",DRAMA,Bernardo Bertolucci,"Liv Tyler, Jeremy Irons, Donal McCann, Sinead Cusack, Ignazio Oliva, Jean Marais, D.W. Moffett, Stefania Sandrelli, Rachel Weisz"
Double Jeopardy,2.0,104.0,1999,"Violence, Profanity, Sexual Content, Nudity",THRILLER,Bruce Beresford,"Ashley Judd, Tommy Lee Jones, Bruce Greenwood, Annabeth Gish"
"Cider House Rules, The",4.0,131.0,1999,"Sexual Situations, Nudity, Violence",DRAMA,Lasse Hallstrom,"Tobey Maguire, Charlize Theron, Delroy Lindo, Paul Rudd, Michael Caine, Jane Alexander, Kathy Baker, Erykah Badu"
Harry Potter and the Chamber of Secrets,3.0,161.0,2002,Violence,FANTASY,Chris Columbus,"Daniel Radcliffe, Tom Felton, Alan Rickman, Robbie Coltrane, Kenneth Branagh, Maggie Smith, Richard Harris, Rupert Grint, Emma Watson, Jason Issacs"
Shrek 2,3.0,95.0,2004,Nothing Objectionable,ANIMATED,"Andrew Adamson, Kelly Asbury, Conrad Vernon","(voices) Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews, Antonio Banderas, John Cleese, Rupert Everett, Jennifer Saunders"
"Counterfeiters, The",3.0,100.0,2008,"Violence, Profanity, Sexual Situations, Nudity",DRAMA,Stefan Ruzowitzky,"Karl Markovics, August Diehl, Devid Striesow, Martin Brambach, August Zirner"
Perfume: The Story of a Murderer,2.5,147.0,2006,"Violence, Profanity, Nudity, Sexual Situations",DRAMA/HORROR,Tom Tykwer,"Ben Wishaw, Dustin Hoffman, Alan Rickman, Rachel Hurd-Wood, Simon Chandler, David Calder"
Cellular,3.0,94.0,2004,"Violence, Profanity",THRILLER,David R. Ellis,"Kim Basinger, Chris Evans, William H. Macy, Jason Statham, Noah Emmerich, Richard Burgi, Adam Taylor Gordon, Rick Hoffman"
Seabiscuit,3.0,145.0,2003,"Sexual Situations, Mature Themes",DRAMA,Gary Ross,"Jeff Bridges, Chris Cooper, Tobey Maguire, William H. Macy, Elizabeth Banks, Gary Stevens"
Bubba Ho-Tep,3.0,92.0,2003,"Violence, Profanity",HORROR/COMEDY,Don Coscarelli,"Bruce Campbell, Ossie Davis, Bob Ivy"
City of Angels,3.0,116.0,1998,"Profanity, Sexual Content, Nudity",DRAMA/ROMANCE,Brad Silberling,"Nicolas Cage, Meg Ryan, Denis Franz, Andre Braugher, Colm Feore"
Hostiles,3.5,129.0,2017,"Violence, Profanity",Western,Scott Cooper,"Christian Bale, Peter Mullan, Timothee Chalamet, Jesse Plemons, Jonathan Majors, Ben Foster, Rory Cochrane, Adam Beach, Q’orianka Kilcher, Wes Studi, Rosamund Pike, Stephen Lang"
"Post, The",3.5,111.0,2017,"Profanity, Violence",Drama,Steven Spielberg,"Meryl Streep, Tom Hanks, Bob Odenkirk, Sarah Paulson, Tracy Letts, Bradley Whitford, Bruce Greenwood, Matthew Rhys"
Heat,3.5,170.0,1995,"Violence, Profanity, Sexual Content",Thriller,Michael Mann,"Al Pacino, Natalie Portman, William Fichtner, Dennis Haysbert, Ted Levine, Wes Studi, Mykelti Williamson, Ashley Judd, Amy Brenneman, Diane Venora, Tom Sizemore, Jon Voight, Val Kilmer, Robert De Niro, Kevin Gage"
"Muppet Christmas Carol, The",2.5,89.0,1992,,Musical,Brian Henson,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, Frank Oz"
Star Wars: The Last Jedi,3.0,152.0,2017,Violence,Science Fiction/Adventure,Rian Johnson,"Mark Hamill, Carrie Fisher, Daisy Ridley, Adam Driver, John Boyega, Oscar Isaac, Domhnall Gleeson, Laura Dern, Billie Lourd, Anthony Daniels, Kelly Marie Tran, Benicio Del Toro, Andy Serkis"
Wonder Wheel,1.5,101.0,2017,"Sexual Content, Adult Themes",Drama,Woody Allen,"Kate Winslet, Justin Timberlake, Juno Temple, Jim Belushi, Jack Gore"
Call Me By Your Name,3.0,132.0,2017,"Sexual Content, Nudity, Profanity",Drama/Romance,Luca Guadagnino,"Armie Hammer, Timothee Chalamet, Michael Stuhlbarg, Amira Casar, Esther Garrel"
"I, Tonya",3.0,119.0,2017,"Profanity, Violence, Sexual Content",Comedy/Drama,Craig Gillespie,"Margot Robbie, Sebastian Stan, Allison Janney, Bobby Cannavale, Julianne Nicholson, McKenna Grace, Catlin Carver"
"Disaster Artist, The",3.0,103.0,2017,"Profanity, Sexual Content, Nudity",Comedy,James Franco,"James Franco, David Franco, Alison Brie, Seth Rogen, Zac Efron, Ari Graynor, Josh Hutcherson, Jason Mantzoukas"
"Shape of Water, The",3.5,123.0,2017,"Violence, Sexual Content, Nudity, Profanity",Fantasy/Romance,Guillermo del Toro,"Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer, Michael Stuhlbarg, Doug Jones"
Woman in Gold,3.0,109.0,2015,"Adult Themes, Profanity",DRAMA,Simon Curtis,"Helen Mirren, Katie Holmes, Charles Dance, Ryan Reynolds, Tatiana Maslany, Daniel Bruhl"
It Follows,3.5,100.0,2015,"Violence, Profanity, Nudity, Sexual Content",HORROR,David Robert Mitchell,"Keir Gilchrist, Maika Monroe, Lili Sepe, Olivia Luccardi, Jake Weary, Daniel Zovatto"
Get Hard,2.5,100.0,2015,"Profanity, Sexual Content, Nudity",COMEDY,Etan Cohen,"Will Ferrell, Craig T. Nelson, Kevin Hart, Alison Brie, Edwina Findley Dickerson"
"Girl Like Her, A",3.0,92.0,2015,"Adult Themes, Profanity",DRAMA,Amy S. Weber,"Jimmy Bennett, Lexi Ainsworth, Hunter King, Amy S. Weber, Christy Engle"
"Gunman, The",2.0,115.0,2015,"Violence, Profanity, Sexual Content",ACTION/THRILLER,Pierre Morel,"Mark Rylance, Ray Winstone, Sean Penn, Javier Bardem, Idris Elba, Jasmine Trinca"
Insurgent,2.0,119.0,2015,"Violence, Profanity, Sexual Content",SCIENCE FICTION/ADVENTURE,Robert Schwentke,"Kate Winslet, Naomi Watts, Miles Teller, Shailene Woodley, Jai Courtney, Ansel Elgort, Theo James"
Run All Night,3.0,114.0,2015,"Violence, Profanity, Sexual Content, Drugs",THRILLER,Jaume Collet-Sera,"Liam Neeson, Vincent D'Onofrio, Ed Harris, Common, Bruce McGill, Genesis Rodriguez, Joel Kinnaman, Boyd Holbrook"
Cinderella,3.5,102.0,2015,,FANTASY/ROMANCE,Kenneth Branagh,"Cate Blanchett, Richard Madden, Lily James, Nonso Anozie, Holliday Grainger, Hayley Atwell, Ben Chaplin, Derek Jacobi, Stellan Skarsgard, Helena Bonham Carter, Sophie McShera"
Unfinished Business,1.0,91.0,2015,"Profanity, Sexual Content, Nudity, Drugs",COMEDY,Ken Scott,"Tom Wilkinson, James Marsden, Vince Vaughn, Nick Frost, Sienna Miller, June Diane Raphael, Dave Franco"
Chappie,2.0,120.0,2015,"Violence, Profanity",SCIENCE FICTION,Neill Blomkamp,"Sigourney Weaver, Hugh Jackman, Jose Pablo Cantillo, Dev Patel, Sharlto Copley, Ninja, Yo-Landi Visser, Brandon Auret"
Ben-Hur,2.0,124.0,2016,Violence,Adventure/Drama,Timur Bekmambetov,"Jack Huston, Toby Kebbell, Rodrigo Santoro, Nazanin Boniadi, Ayelet Zurer, Pilou Asbaek, Sofia Black-D’Elia, Morgan Freeman"
Kubo and the Two Strings,3.5,95.0,2016,Mild Violence,Animated,Travis Knight,"Art Parkinson, Charlize Theron, Ralph Fiennes, Matthew McConaughey, Rooney Mara, George Takei, Cary-Hiroyuki Tagawa, Brenda Vaccaro"
Anthropoid,3.0,120.0,2016,Violence,Drama/Thriller,Sean Ellis,"Jamie Dornan, Cillian Murphy, Toby Jones, Alena Mihulova, Bill Milner, Charlotte Le Bon, Anna Geislerova, Jiri Simek, Detlef Bothe"
Suicide Squad,2.0,130.0,2016,"Violence, Profanity",Action/Adventure,David Ayer,"Will Smith, Margot Robbie, Jared Leto, Viola Davis, Joel Kinnaman, Cara Delevigne, Jai Courtney, Jay Hernandez, Adewale Akinnuoye-Agbaje, Karen Fukuhara, Ben Affleck"
Jason Bourne,3.5,123.0,2016,"Violence, Profanity",Thriller,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel, Julia Stiles, Riz Ahmed"
Nerve,3.0,96.0,2016,"Violence, Profanity, Sexual Content, Drugs, Nudity",Thriller,"Henry Joost, Ariel Schulman","Emma Roberts, Dave Franco, Emily Meade, Miles Heizer, Kimiko Glenn, Colson Baker"
Captain Fantastic,3.0,118.0,2016,"Profanity, Sexual Content, Nudity",Drama,Matt Ross,"Viggo Mortensen, George MacKay, Kathryn Hahn, Steve Zahn, Frank Langella, Ann Dowd, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell"
Star Trek Beyond,2.5,120.0,2016,"Violence, Profanity",Science Fiction/Action,Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, Idris Elba, Sofia Boutella"
Ice Age: Collision Course,2.0,90.0,2016,,Animated,"Mike Thurmeier, Galen T. Chu","Ray Romano, John Leguizamo, Denis Leary, Queen Latifa, Keke Palmer, Jennifer Lopez, Wanda Sykes, Simon Pegg, Adam Devine"
Lights Out,2.0,81.0,2016,"Disturbing Images, Violence, Profanity",Horror,David F. Sandberg,"Teresa Palmer, Gabriel Bateman, Alexander DiPersia, Maria Bello"
"Omega Man, The",2.5,97.0,1971,"Violence, Profanity, Nudity",Science Fiction,Boris Sagal,"Charlton Heston, Anthony Zerbe, Rosalind Cash, Paul Koslo"
Captive State,2.0,110.0,2019,"Violence, Torture, Profanity, Sexual Content",Science Fiction/Thriller,Rupert Wyatt,
Five Feet Apart,2.5,115.0,2019,"Profanity, Sexual Content, Adult Themes",Drama/Romance,Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moises Arias"
Wonder Park,3.0,85.0,2019,,Animated/Adventure,"Dylan Brown, David Feiss, Clare Kilner, Robert Iscove","Brianna Denski, Jennifer Garner, Ken Hudson Campbell, Kenan Thompson, Mila Kunis, John Oliver, Ken Jeong, Norbert Leo Butz, Matthew Broderick"
Yardie,2.5,101.0,2019,"Violence, Sexual Content, Profanity",Thriller,Idris Elba,"Aml Ameen, Sheldon Shepherd, Shantol Jackson, Everaldo Creary, Stephen Graham, Calvin Demba, Antwayne Eccleston"
"Wedding Guest, The",2.5,94.0,2019,"Violence, Profanity, Nudity",Thriller,Michael Winterbottom,"Dev Patel, Radhika Apte, Jim Sarbh"
"Battle of Algiers, The",3.5,121.0,,Violence,Drama,Gillo Pontecorvo,"Jean Martin, Saadi Yacef, Brahim Haggiag"
In the Heat of the Night,3.0,110.0,,"Violence, Profanity, Instances of Race-Related Bigotry",Drama/Thriller,Norman Jewison,"Sidney Poitier, Rod Steiger, Warren Oates, Lee Grant, Larry Gates, James Patterson"
Captain Marvel,2.5,124.0,2019,"Violence, Profanity",Action/Adventure,"Anna Boden, Ryan Fleck","Brie Larson, Lee Pace, Gemma Chan, Clark Gregg, Lashana Lynch, Annette Bening, Jude Law, Ben Mendelsohn, Samuel L. Jackson, Djimon Hounsou"
Gloria Bell,3.0,102.0,2019,"Sexual Content, Nudity, Profanity, Drugs",Drama,Sebastian Lelio,"Julianne Moore, Brad Garrett, Rita Wilson, John Turturro, Holland Taylor, Jeanne Tripplehorn, Alanna Ubach, Michael Cera, Sean Astin, Caren Pistorius"
Marie Antoinette,1.5,123.0,2006,"Nudity, Sexual Situations",DRAMA,Sofia Coppola,"Kirsten Dunst, Jason Schwartzman, Judy Davis, Rip Torn, Rose Byrne, Asia Argento, Steve Coogan"
Body of Lies,3.5,128.0,2008,"Violence, Profanity",THRILLER,Ridley Scott,"Leonardo DiCaprio, Russell Crowe, Mark Strong, Golshifteh Farahani, Alon Aboutboul"
21 Grams,4.0,125.0,2003,"Violence, Profanity, Nudity, Sexual Situations",DRAMA,Alejandro González Iñárritu,"Sean Penn, Benicio Del Toro, Naomi Watts, Charlotte Gainsbourg, Danny Huston, Clea DuVall, Marc Musso"
Nutty Professor 2: The Klumps,2.0,105.0,2000,"Profanity, Sexual Situations",COMEDY,Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales"
"Little Indian, Big City",0.5,90.0,1996,,COMEDY,Herve Palud,"Thierry Lhermitte, Ludwig Briand, Patrick Timsit, Arielle Dombasle, Miou-Miou"
"Last of the Mohicans, The",4.0,114.0,1992,Violence,ACTION/AVENTURE,Michael Mann,"Daniel Day-Lewis, Madeleine Stowe, Wes Studi, Russell Means, Jodhi May"
Here on Earth,2.0,96.0,2000,"Sexual Situations, Profanity",DRAMA,Mark Piznarski,"Chris Klein, Leelee Sobieski, Josh Hartnett, Michael Rooker, Annie Corley, Bruce Greenwood, Annette O'Toole, Elaine Hendrix, Stuart Wilson"
I Know Who Killed Me,1.0,105.0,2007,"Violence, Profanity, Sexual Situations, Nudity",THRILLER,Chris Sivertson,"Lindsay Lohan, Julia Ormond, Neal McDonough, Gregory Itzin, Garcelle Beauvais-Nilon, Brian Geraghty"
"Untouchables, The",4.0,119.0,1987,"Violence, Profanity",THRILLER/DRAMA,Brian De Palma,"Kevin Costner, Sean Connery, Robert De Niro, Andy Garcia, Charles Martin Smith, Billy Drago"
"Omen, The",1.5,108.0,2006,"Violence, Profanity",HORROR,John Moore,"Liev Schreiber, Julia Stiles, David Thewlis, Mia Farrow, Pete Postlethwaite, Seamus Davey-Fitzpatrick"
"Machinist, The",3.0,102.0,2004,"Violence, Profanity, Sexual Situations, Nudity",HORROR,Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside"
Primary Colors,2.5,140.0,1998,"Profanity, Sexual Situations",COMEDY/DRAMA,Mike Nichols,"John Travolta, Emma Thompson, Adrian Lester, Billy Bob Thornton, Maura Tierney, Kathy Bates, Larry Hagman, Paul Guilfoyle"
"Pretty Village, Pretty Flame",3.5,135.0,,"Violence, Profanity, Sexual Content",DRAMA,Srdjan Dragojevic,"Dragan Bjelogrlic, Nikola Kojo, Velimir-Bata Zivojinovic, Dragan Maksimovic, Zoran Cvijanovic"
Citizen Ruth,3.0,106.0,1995,"Profanity, Sexual Content",COMEDY,Alexander Payne,"Laura Dern, Swoosie Kurtz, Kurtwood Smith, Mary Kay Place, M.C. Gainey, Kelly Preston, Burt Reynolds, Tippi Hendren"
Vertigo,3.5,128.0,,Mature Themes,THRILLER,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore"
Boogie Nights,3.5,148.0,1997,"Nudity, Sexual Situations, Profanity, Violence, Drugs",DRAMA,Paul Thomas Anderson,"Mark Wahlberg, Melora Walters, Alfred Molina, Philip Baker Hall, Luis Guzman, Nicole Parker, William H. Macy, John C. Reilly, Heather Graham, Don Cheadle, Julianne Moore, Burt Reynolds, Robert Ridgely"
"Man with the Golden Gun, The",2.5,128.0,,"Violence, Sexual Situations",ACTION/THRILLER,Guy Hamilton,"Roger Moore, Desmond Llewelyn, Bernard Lee, Clifton James, Herve Villechaize, Soon Taik Oh, Maud Adams, Britt Ekland, Christopher Lee, Lois Maxwell"
Flags of Our Fathers,3.0,135.0,2006,"Violence, Profanity",DRAMA/WAR,Clint Eastwood,"Ryan Phillippe, Joseph Cross, Neal McDonough, Robert Patrick, Paul Walker, Tom Verica, Barry Pepper, Jamie Bell, Adam Beach, Jesse Bradford, Melanie Lynskey"
My Date with Drew,3.0,90.0,2005,Nothing Objectionable,DOCUMENTARY,"Jon Gunn, Brian Herzlinger, Brett Winn","Brian Herzlinger, Drew Barrymore"
Monster,3.5,105.0,2003,"Violence, Nudity, Sexual Situations, Profanity",DRAMA,Patty Jenkins,"Charlize Theron, Christina Ricci, Bruce Dern"
211,1.5,87.0,2018,"Violence, Profanity",Thriller,York Alec Shackleton,"Nicolas Cage, Dwayne Cameron, Sophie Skelton, Michael Rainey Jr., Weston Cage, Ori Pfeffer, Michael Bellisario, Sapir Azulay"
Bernard and Huey,3.0,90.0,2018,"Profanity, Sexual Content",Drama/Comedy,Dan Mirvish,"Jim Rash, David Koechner, Mae Whitman, Sasha Alexander, Nancy Travis, Bellamy Young, Richard Kind"
Ocean's Eight,2.0,107.0,2018,"Profanity, Drugs",Thriller,Gary Ross,"Sandra Bullock, Richard Armitage, Anne Hathaway, Sarah Paulson, Awkwafina, Rihanna, Mindy Kaling, Helena Bonham-Carter, Cate Blanchett, James Corden"
Hotel Artemis,2.5,88.0,2018,"Violence, Profanity",Science Fiction/Thriller,Drew Pearce,"Jodie Foster, Sterling K. Brown, Dave Bautista, Sofia Boutella, Charlie Day, Brian Tyree Henry, Jenny Slate, Jeff Goldblum, Zachary Quinto"
